text_a,intent_a,text_b,intent_b,hard_negative_group
माझी उपस्थिती किती आहे?,OWN_ATTENDANCE,माझ्या मुलाची उपस्थिती कशी आहे?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
আমার উপস্থিতি পরীক্ষা করে দিতে পারবেন?,OWN_ATTENDANCE,എന്റെ മകന്റെ ഹാജർ എങ്ങനെയാണ്?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
എന്റെ ഹാജർ ശതമാനം എത്രയാണ്?,OWN_ATTENDANCE,தயவுசெய்து ராகுலின் வருகையை சரிபார்க்க முடியுமா?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
براہ کرم میری حاضری کتنی ہے؟,OWN_ATTENDANCE,என் மகனின் வருகை எப்படி உள்ளது?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
ਮੇਰੀ ਹਾਜ਼ਰੀ ਕਿੰਨੀ ਹੈ?,OWN_ATTENDANCE,ராகுலின் வருகையை சரிபார்க்க முடியுமா?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
माझी उपस्थिती किती टक्के आहे?,OWN_ATTENDANCE,আমার সন্তানের উপস্থিতির হার কত?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
నేను ఎన్ని తరగతులకు హాజరయ్యాను?,OWN_ATTENDANCE,ദയവായി എന്റെ കുട്ടിയുടെ ഹാജർ എത്രയാണ്?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
என் வருகை சதவீதம் எவ்வளவு?,OWN_ATTENDANCE,রাহুলের অ্যাটেনডেন্স দেখতে পারবেন?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
माझी उपस्थिती तपासू शकता का?,OWN_ATTENDANCE,రాహుల్ అటెండెన్స్ చెక్ చేయగలరా?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
इस टर्म में मेरी उपस्थिति कितनी है?,OWN_ATTENDANCE,કૃપા કરીને મારા બાળકની હાજરી કેટલી છે?,CHILD_ATTENDANCE,OWN_ATTENDANCE__VS__CHILD_ATTENDANCE
माझी उपस्थिती किती आहे?,OWN_ATTENDANCE,तुम्ही सांगू शकता का: गेल्या महिन्यात राहुलची उपस्थिती किती होती?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
আমার উপস্থিতি পরীক্ষা করে দিতে পারবেন?,OWN_ATTENDANCE,പറയാമോ: കഴിഞ്ഞ മാസം രാഹുലിന്റെ ഹാജർ എത്രയായിരുന്നു?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
എന്റെ ഹാജർ ശതമാനം എത്രയാണ്?,OWN_ATTENDANCE,இதை சரிபார்க்க முடியுமா: கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
براہ کرم میری حاضری کتنی ہے؟,OWN_ATTENDANCE,நீங்கள் சொல்ல முடியுமா: கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
ਮੇਰੀ ਹਾਜ਼ਰੀ ਕਿੰਨੀ ਹੈ?,OWN_ATTENDANCE,தயவுசெய்து கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
माझी उपस्थिती किती टक्के आहे?,OWN_ATTENDANCE,গত মাসে রাহুলের উপস্থিতি কত ছিল?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
నేను ఎన్ని తరగతులకు హాజరయ్యాను?,OWN_ATTENDANCE,എനിക്ക് ഇത് അറിയണം: കഴിഞ്ഞ മാസം രാഹുലിന്റെ ഹാജർ എത്രയായിരുന്നു?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
என் வருகை சதவீதம் எவ்வளவு?,OWN_ATTENDANCE,দয়া করে গত মাসে রাহুলের উপস্থিতি কত ছিল?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
माझी उपस्थिती तपासू शकता का?,OWN_ATTENDANCE,అతని ఇటీవలి హాజరును చూపించండి.,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
इस टर्म में मेरी उपस्थिति कितनी है?,OWN_ATTENDANCE,કૃપા કરીને કૃપા કરીને કૃપા કરીને ગયા મહિને રાહુલની હાજરી કેટલી હતી?,ATTENDANCE_HISTORY,OWN_ATTENDANCE__VS__ATTENDANCE_HISTORY
माझ्या मुलाची उपस्थिती किती आहे?,CHILD_ATTENDANCE,तुम्ही सांगू शकता का: गेल्या महिन्यात राहुलची उपस्थिती किती होती?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
আমার ছেলের উপস্থিতি কেমন?,CHILD_ATTENDANCE,പറയാമോ: കഴിഞ്ഞ മാസം രാഹുലിന്റെ ഹാജർ എത്രയായിരുന്നു?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
രാഹുലിന്റെ ഹാജർ പരിശോധിക്കാമോ?,CHILD_ATTENDANCE,இதை சரிபார்க்க முடியுமா: கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
براہ کرم میرے بچے کی حاضری کتنی ہے؟,CHILD_ATTENDANCE,நீங்கள் சொல்ல முடியுமா: கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
ਮੇਰੇ ਬੱਚੇ ਦੀ ਹਾਜ਼ਰੀ ਕਿੰਨੀ ਹੈ?,CHILD_ATTENDANCE,தயவுசெய்து கடந்த மாதம் ராகுலின் வருகை எவ்வளவு?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
राहुलची उपस्थिती तपासू शकता का?,CHILD_ATTENDANCE,গত মাসে রাহুলের উপস্থিতি কত ছিল?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
నా కుమారుడి అటెండెన్స్ ఎలా ఉంది?,CHILD_ATTENDANCE,എനിക്ക് ഇത് അറിയണം: കഴിഞ്ഞ മാസം രാഹുലിന്റെ ഹാജർ എത്രയായിരുന്നു?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
ராகுலின் வருகையை சரிபார்க்க முடியுமா?,CHILD_ATTENDANCE,দয়া করে গত মাসে রাহুলের উপস্থিতি কত ছিল?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
माझ्या मुलाची उपस्थिती कशी आहे?,CHILD_ATTENDANCE,అతని ఇటీవలి హాజరును చూపించండి.,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
मेरे बच्चे की उपस्थिति दिखाइए।,CHILD_ATTENDANCE,કૃપા કરીને કૃપા કરીને કૃપા કરીને ગયા મહિને રાહુલની હાજરી કેટલી હતી?,ATTENDANCE_HISTORY,CHILD_ATTENDANCE__VS__ATTENDANCE_HISTORY
माझ्या मुलाची उपस्थिती किती आहे?,CHILD_ATTENDANCE,तुम्ही सांगू शकता का: संपूर्ण शाळेचा उपस्थिती अहवाल दाखवा.,SCHOOL_ANALYTICS,CHILD_ATTENDANCE__VS__SCHOOL_ANALYTICS
আমার ছেলের উপস্থিতি কেমন?,CHILD_ATTENDANCE,പറയാമോ: സ്കൂളിന്റെ മൊത്തം ഹാജർ റിപ്പോർട്ട് കാണിക്കൂ.,SCHOOL_ANALYTICS,CHILD_ATTENDANCE__VS__SCHOOL_ANALYTICS
രാഹുലിന്റെ ഹാജർ പരിശോധിക്കാമോ?,CHILD_ATTENDANCE,இதை சரிபார்க்க முடியுமா: முழு பள்ளியின் வருகை அறிக்கையை காட்டுங்கள்.,SCHOOL_ANALYTICS,CHILD_ATTENDANCE__VS__SCHOOL_ANALYTICS
براہ کرم میرے بچے کی حاضری کتنی ہے؟,CHILD_ATTENDANCE,நீங்கள் சொல்ல முடியுமா: முழு பள்ளியின் வருகை அறிக்கையை காட்டுங்கள்.,SCHOOL_ANALYTICS,CHILD_ATTENDANCE__VS__SCHOOL_ANALYTICS
